date,mkt_cap
08/12/31,33370
09/1/2,34310
09/1/5,35110
09/1/6,35080
09/1/7,33410
09/1/8,33770
09/1/9,33190
09/1/12,30710
09/1/13,30810
09/1/14,29930
09/1/15,29200
09/1/16,33730
09/1/20,27340
09/1/21,32280
09/1/22,32800
09/1/23,34590
09/1/26,34260
09/1/27,36140
09/1/28,40500
09/1/29,38200
09/1/30,37280
09/2/2,38590
09/2/3,38240
09/2/4,40620
09/2/5,42880
09/2/6,44590
09/2/9,45200
09/2/10,41750
09/2/11,43740
09/2/12,44140
09/2/13,44540
09/2/17,39580
09/2/18,39020
09/2/19,39720
09/2/20,39060
09/2/23,36980
09/2/24,42940
09/2/25,41520
09/2/26,42550
09/2/27,42060
09/3/2,39840
09/3/3,38040
09/3/4,39470
09/3/5,37740
09/3/6,34930
09/3/9,34150
09/3/10,39380
09/3/11,42660
09/3/12,44910
09/3/13,45620
09/3/16,43360
09/3/17,45710
09/3/18,48600
09/3/19,45860
09/3/20,44940
09/3/23,51690
09/3/24,51070
09/3/25,52160
09/3/26,51720
09/3/27,49910
09/3/30,46390
09/3/31,48960
09/4/1,50930
09/4/2,52750
09/4/3,55140
09/4/6,53870
09/4/7,53600
09/4/8,52990
09/4/9,57410
09/4/13,60100
09/4/14,53160
09/4/15,55960
09/4/16,55960
09/4/17,55690
09/4/20,53110
09/4/21,55580
09/4/22,55640
09/4/23,56710
09/4/24,56010
09/4/27,55830
09/4/28,55720
09/4/29,58730
09/4/30,59340
09/5/1,58680
09/5/4,61950
09/5/5,62430
09/5/6,70090
09/5/7,67320
09/5/8,70270
09/5/11,68350
09/5/12,68170
09/5/13,65070
09/5/14,67260
09/5/15,67660
09/5/18,72060
09/5/19,71060
09/5/20,68690
09/5/21,69050
09/5/22,68640
09/5/26,71510
09/5/27,70480
09/5/28,72820
09/5/29,72780
09/6/1,72660
09/6/2,72050
09/6/3,71560
09/6/4,75250
09/6/5,75010
09/6/8,74680
09/6/9,75170
09/6/10,73840
09/6/11,73070
09/6/12,73320
09/6/15,71990
09/6/16,72570
09/6/17,70340
09/6/18,72030
09/6/19,72050
09/6/22,68970
09/6/23,71080
09/6/24,71810
09/6/25,72710
09/6/26,74950
09/6/29,76280
09/6/30,75300
09/7/1,75240
09/7/2,73290
09/7/6,74800
09/7/7,72800
09/7/8,70760
09/7/9,73140
09/7/10,72460
09/7/13,76320
09/7/14,76440
09/7/15,79300
09/7/16,80100
09/7/17,80100
09/7/20,81730
09/7/21,81620
09/7/22,81950
09/7/23,84500
09/7/24,84210
09/7/27,83780
09/7/28,82070
09/7/29,81510
09/7/30,83040
09/7/31,83480
09/8/3,83890
09/8/4,84440
09/8/5,86210
09/8/6,85250
09/8/7,83660
09/8/10,81980
09/8/11,81400
09/8/12,83720
09/8/13,84090
09/8/14,83190
09/8/17,80390
09/8/18,82040
09/8/19,81760
09/8/20,82990
09/8/21,83590
09/8/24,83120
09/8/25,84320
09/8/26,84840
09/8/27,84360
09/8/28,84060
09/8/31,84590
09/9/1,81880
09/9/2,81050
09/9/3,82650
09/9/4,83320
09/9/8,85490
09/9/9,87050
09/9/10,89400
09/9/11,89310
09/9/14,90850
09/9/15,90320
09/9/16,91960
09/9/17,92770
09/9/18,93650
09/9/21,93240
09/9/22,94840
09/9/23,93880
09/9/24,93590
09/9/25,92090
09/9/28,93630
09/9/29,94190
09/9/30,94580
09/10/1,91830
09/10/2,92150
09/10/5,95670
09/10/6,95930
09/10/7,97730
09/10/8,96540
09/10/9,97120
09/10/12,97560
09/10/13,96060
09/10/14,98650
09/10/15,96780
09/10/16,94590
09/10/19,95170
09/10/20,94890
09/10/21,91970
09/10/22,94240
09/10/23,92720
09/10/26,92210
09/10/27,91820
09/10/28,88500
09/10/29,91800
09/10/30,87480
09/11/2,87740
09/11/3,88220
09/11/4,87140
09/11/5,89140
09/11/6,88310
09/11/9,90770
09/11/10,90740
09/11/11,92460
09/11/12,91750
09/11/13,90870
09/11/16,91120
09/11/17,90790
09/11/18,90940
09/11/19,88850
09/11/20,87400
09/11/23,88420
09/11/24,87970
09/11/25,86840
09/11/27,84390
09/11/30,87220
09/12/1,86180
09/12/2,85680
09/12/3,84460
09/12/4,85980
09/12/7,84230
09/12/8,83200
09/12/9,85560
09/12/10,85710
09/12/11,85340
09/12/14,85390
09/12/15,83660
09/12/16,84820
09/12/17,82730
09/12/18,83890
09/12/21,85050
09/12/22,84620
09/12/23,84120
09/12/24,84290
09/12/28,84190
09/12/29,84370
09/12/30,85700
09/12/31,86970
10/1/4,89160
10/1/5,90730
10/1/6,89760
10/1/7,91520
10/1/8,89790
10/1/11,88370
10/1/12,86450
10/1/13,87090
10/1/14,86810
10/1/15,85100
10/1/19,85950
10/1/20,86430
10/1/21,82870
10/1/22,79390
10/1/25,79830
10/1/26,77720
10/1/27,78040
10/1/28,78960
10/1/29,76610
10/2/1,78880
10/2/2,80840
10/2/3,80990
10/2/4,77620
10/2/5,79410
10/2/8,77830
10/2/9,78550
10/2/10,79140
10/2/11,79350
10/2/12,81010
10/2/16,82830
10/2/17,82760
10/2/18,81950
10/2/19,82190
10/2/22,82470
10/2/23,82460
10/2/24,83320
10/2/25,82330
10/2/26,82280
10/3/1,82380
10/3/2,83540
10/3/3,83000
10/3/4,86100
10/3/5,87980
10/3/8,89480
10/3/9,88960
10/3/10,90590
10/3/11,91410
10/3/12,92180
10/3/15,91420
10/3/16,92830
10/3/17,93060
10/3/18,93490
10/3/19,93730
10/3/22,92810
10/3/23,92110
10/3/24,91890
10/3/25,92150
10/3/26,91080
10/3/29,91700
10/3/30,90290
10/3/31,87740
10/4/1,87530
10/4/5,89040
10/4/6,88900
10/4/7,90680
10/4/8,92300
10/4/9,92100
10/4/12,91440
10/4/13,92170
10/4/14,95080
10/4/15,94750
10/4/16,82630
10/4/19,83980
10/4/20,82260
10/4/21,81720
10/4/22,81780
10/4/23,81030
10/4/26,78260
10/4/27,78780
10/4/28,80830
10/4/29,82490
10/4/30,74750
10/5/3,76960
10/5/4,76940
10/5/5,76290
10/5/6,73260
10/5/7,73610
10/5/10,74040
10/5/11,73080
10/5/12,75780
10/5/13,74460
10/5/14,73730
10/5/17,73430
10/5/18,70710
10/5/19,72120
10/5/20,70060
10/5/21,72390
10/5/24,70370
10/5/25,73390
10/5/26,72220
10/5/27,74620
10/5/28,74260
10/6/1,73030
10/6/2,74560
10/6/3,74150
10/6/4,73230
10/6/7,71390
10/6/8,70930
10/6/9,70420
10/6/10,68860
10/6/11,69830
10/6/14,68690
10/6/15,70470
10/6/16,70560
10/6/17,70690
10/6/18,71130
10/6/21,70910
10/6/22,69390
10/6/23,69530
10/6/24,69490
10/6/25,71900
10/6/28,70350
10/6/29,68860
10/6/30,67670
10/7/1,67600
10/7/2,67570
10/7/6,68180
10/7/7,70020
10/7/8,69830
10/7/9,71170
10/7/12,70750
10/7/13,72300
10/7/14,71680
10/7/15,74860
10/7/16,75350
10/7/19,75100
10/7/20,76760
10/7/21,75770
10/7/22,75540
10/7/23,75990
10/7/26,76410
10/7/27,75910
10/7/28,75900
10/7/29,78670
10/7/30,77770
10/8/2,78760
10/8/3,78990
10/8/4,80650
10/8/5,80390
10/8/6,80010
10/8/9,80130
10/8/10,79350
10/8/11,76960
10/8/12,77040
10/8/13,76350
10/8/16,76190
10/8/17,76620
10/8/18,76930
10/8/19,75820
10/8/20,76430
10/8/23,75660
10/8/24,74220
10/8/25,74600
10/8/26,73120
10/8/27,72060
10/8/30,70460
10/8/31,70600
10/9/1,72050
10/9/2,72070
10/9/3,75950
10/9/7,74870
10/9/8,76070
10/9/9,76900
10/9/10,77540
10/9/13,79600
10/9/14,78650
10/9/15,78660
10/9/16,78490
10/9/17,77850
10/9/20,78320
10/9/21,78060
10/9/22,76350
10/9/23,74720
10/9/24,75940
10/9/27,75280
