date,mkt_cap
08/12/31,17970
09/1/2,17800
09/1/5,17140
09/1/6,17460
09/1/7,15500
09/1/8,16660
09/1/9,16350
09/1/12,15850
09/1/13,15890
09/1/14,15680
09/1/15,16390
09/1/16,16700
09/1/20,17360
09/1/21,17850
09/1/22,18060
09/1/23,19620
09/1/26,19150
09/1/27,18410
09/1/28,17040
09/1/29,17410
09/1/30,17560
09/2/2,17380
09/2/3,17160
09/2/4,17650
09/2/5,18060
09/2/6,18330
09/2/9,17820
09/2/10,17370
09/2/11,20260
09/2/12,20460
09/2/13,19900
09/2/17,20410
09/2/18,20460
09/2/19,19520
09/2/20,20930
09/2/23,20280
09/2/24,19250
09/2/25,19170
09/2/26,19470
09/2/27,19920
09/3/2,18130
09/3/3,18520
09/3/4,18560
09/3/5,19350
09/3/6,18610
09/3/9,18080
09/3/10,16760
09/3/11,17540
09/3/12,17970
09/3/13,18440
09/3/16,17930
09/3/17,17520
09/3/18,19210
09/3/19,20530
09/3/20,21150
09/3/23,21370
09/3/24,21000
09/3/25,21940
09/3/26,22440
09/3/27,21840
09/3/30,21680
09/3/31,21420
09/4/1,22680
09/4/2,22130
09/4/3,21000
09/4/6,20480
09/4/7,20390
09/4/8,20050
09/4/9,19990
09/4/13,20140
09/4/14,20030
09/4/15,20240
09/4/16,19040
09/4/17,18250
09/4/20,18690
09/4/21,18600
09/4/22,18380
09/4/23,18550
09/4/24,19780
09/4/27,19960
09/4/28,19170
09/4/29,19500
09/4/30,19270
09/5/1,18550
09/5/4,19610
09/5/5,19710
09/5/6,20440
09/5/7,20480
09/5/8,20970
09/5/11,20460
09/5/12,21230
09/5/13,20580
09/5/14,20920
09/5/15,20420
09/5/18,20300
09/5/19,20870
09/5/20,21820
09/5/21,22330
09/5/22,22530
09/5/26,22600
09/5/27,21970
09/5/28,22680
09/5/29,23410
09/6/1,22990
09/6/2,23240
09/6/3,22230
09/6/4,22720
09/6/5,21480
09/6/8,21390
09/6/9,21500
09/6/10,21290
09/6/11,21130
09/6/12,20460
09/6/15,19920
09/6/16,20060
09/6/17,20110
09/6/18,19830
09/6/19,20060
09/6/22,19100
09/6/23,19790
09/6/24,20130
09/6/25,20630
09/6/26,20360
09/6/29,20280
09/6/30,19580
09/7/1,20200
09/7/2,19280
09/7/6,18900
09/7/7,18860
09/7/8,18180
09/7/9,18220
09/7/10,18150
09/7/13,18420
09/7/14,18730
09/7/15,19400
09/7/16,19600
09/7/17,19740
09/7/20,20220
09/7/21,20270
09/7/22,20140
09/7/23,20030
09/7/24,20030
09/7/27,19950
09/7/28,19350
09/7/29,18890
09/7/30,19100
09/7/31,19840
09/8/3,20070
09/8/4,20170
09/8/5,20100
09/8/6,20300
09/8/7,19930
09/8/10,19540
09/8/11,19280
09/8/12,19410
09/8/13,19890
09/8/14,19490
09/8/17,18600
09/8/18,18820
09/8/19,19040
09/8/20,19210
09/8/21,19590
09/8/24,19160
09/8/25,19330
09/8/26,19130
09/8/27,19460
09/8/28,19870
09/8/31,19280
09/9/1,19280
09/9/2,21060
09/9/3,21960
09/9/4,22180
09/9/8,21920
09/9/9,21530
09/9/10,22120
09/9/11,22320
09/9/14,21950
09/9/15,22420
09/9/16,22600
09/9/17,21990
09/9/18,21570
09/9/21,21300
09/9/22,21690
09/9/23,20910
09/9/24,20760
09/9/25,20550
09/9/28,20470
09/9/29,20980
09/9/30,21120
09/10/1,20340
09/10/2,20210
09/10/5,20720
09/10/6,22170
09/10/7,22350
09/10/8,22550
09/10/9,22310
09/10/12,22300
09/10/13,22870
09/10/14,22710
09/10/15,22340
09/10/16,22370
09/10/19,22530
09/10/20,22060
09/10/21,21860
09/10/22,21840
09/10/23,21580
09/10/26,20820
09/10/27,20790
09/10/28,19940
09/10/29,20660
09/10/30,20880
09/11/2,20930
09/11/3,22330
09/11/4,22760
09/11/5,22700
09/11/6,23560
09/11/9,24290
09/11/10,24240
09/11/11,24620
09/11/12,23850
09/11/13,24500
09/11/16,25170
09/11/17,25380
09/11/18,25320
09/11/19,25300
09/11/20,25110
09/11/23,25620
09/11/24,25630
09/11/25,26370
09/11/27,25630
09/11/30,25770
09/12/1,26740
09/12/2,26820
09/12/3,26220
09/12/4,25010
09/12/7,24900
09/12/8,24180
09/12/9,24860
09/12/10,24830
09/12/11,24590
09/12/14,24770
09/12/15,24300
09/12/16,24360
09/12/17,22880
09/12/18,23180
09/12/21,22570
09/12/22,22460
09/12/23,23080
09/12/24,23050
09/12/28,22970
09/12/29,22940
09/12/30,22860
09/12/31,22790
10/1/4,23340
10/1/5,23400
10/1/6,23900
10/1/7,23740
10/1/8,23900
10/1/11,24170
10/1/12,23370
10/1/13,23480
10/1/14,23330
10/1/15,22940
10/1/19,23340
10/1/20,22360
10/1/21,21410
10/1/22,21400
10/1/25,21260
10/1/26,21310
10/1/27,21290
10/1/28,21190
10/1/29,20650
10/2/1,21940
10/2/2,21810
10/2/3,22100
10/2/4,20970
10/2/5,22270
10/2/8,21390
10/2/9,22070
10/2/10,21840
10/2/11,22530
10/2/12,22410
10/2/16,22840
10/2/17,22820
10/2/18,23380
10/2/19,23450
10/2/22,23060
10/2/23,22500
10/2/24,22450
10/2/25,23680
10/2/26,23800
10/3/1,24290
10/3/2,24970
10/3/3,25090
10/3/4,24570
10/3/5,24900
10/3/8,24660
10/3/9,24720
10/3/10,24280
10/3/11,24350
10/3/12,24170
10/3/15,24020
10/3/16,24800
10/3/17,24750
10/3/18,24760
10/3/19,24520
10/3/22,24830
10/3/23,24850
10/3/24,24020
10/3/25,23350
10/3/26,23850
10/3/29,24330
10/3/30,24510
10/3/31,24600
10/4/1,25560
10/4/5,25990
10/4/6,25730
10/4/7,26130
10/4/8,26040
10/4/9,26190
10/4/12,25870
10/4/13,25980
10/4/14,25870
10/4/15,25620
10/4/16,25190
10/4/19,25220
10/4/20,24910
10/4/21,25100
10/4/22,25350
10/4/23,25670
10/4/26,25720
10/4/27,25750
10/4/28,26480
10/4/29,26980
10/4/30,27110
10/5/3,26560
10/5/4,26240
10/5/5,25870
10/5/6,26420
10/5/7,25810
10/5/10,26830
10/5/11,28140
10/5/12,28380
10/5/13,27620
10/5/14,27890
10/5/17,27580
10/5/18,27100
10/5/19,26350
10/5/20,25170
10/5/21,25300
10/5/24,25300
10/5/25,25880
10/5/26,25700
10/5/27,26560
10/5/28,26020
10/6/1,26420
10/6/2,26930
10/6/3,26260
10/6/4,25970
10/6/7,26670
10/6/8,27290
10/6/9,26930
10/6/10,27130
10/6/11,27190
10/6/14,26560
10/6/15,27230
10/6/16,28200
10/6/17,28850
10/6/18,29610
10/6/21,28760
10/6/22,28780
10/6/23,28560
10/6/24,28500
10/6/25,29810
10/6/28,29710
10/6/29,29560
10/6/30,29850
10/7/1,28520
10/7/2,28410
10/7/6,28340
10/7/7,29000
10/7/8,29170
10/7/9,29940
10/7/12,29770
10/7/13,29820
10/7/14,29840
10/7/15,29350
10/7/16,28480
10/7/19,28050
10/7/20,28520
10/7/21,28190
10/7/22,28600
10/7/23,28620
10/7/26,28160
10/7/27,27040
10/7/28,26850
10/7/29,27010
10/7/30,27090
10/8/2,26950
10/8/3,26890
10/8/4,27260
10/8/5,27490
10/8/6,27650
10/8/9,27740
10/8/10,27820
10/8/11,27160
10/8/12,27990
10/8/13,27490
10/8/16,27970
10/8/17,28300
10/8/18,28830
10/8/19,28330
10/8/20,28120
10/8/23,27910
10/8/24,27690
10/8/25,28470
10/8/26,28810
10/8/27,29060
10/8/30,29040
10/8/31,29720
10/9/1,29240
10/9/2,29820
10/9/3,29500
10/9/7,30090
10/9/8,29840
10/9/9,29190
10/9/10,29410
10/9/13,29290
10/9/14,30460
10/9/15,30490
10/9/16,30620
10/9/17,30540
10/9/20,30670
10/9/21,31080
10/9/22,31480
10/9/23,30950
10/9/24,30730
10/9/27,30370
10/9/28,31130
10/9/29,30970
10/9/30,30440
10/10/1,30870
10/10/4,30410
10/10/5,30860
10/10/6,31320
10/10/7,30550
10/10/8,30480
10/10/11,30310
10/10/12,30050
10/10/13,30620
10/10/14,30310
10/10/15,29990
10/10/18,30290
10/10/19,29050
10/10/20,29310
10/10/21,28700
10/10/22,28780
10/10/25,28870
10/10/26,28910
10/10/27,28390
10/10/28,29080
10/10/29,29590
10/11/1,29770
10/11/2,29120
10/11/3,28740
10/11/4,29910
10/11/5,29960
10/11/8,30450
10/11/9,29420
10/11/10,30290
10/11/11,30640
10/11/12,29930
10/11/15,29490
10/11/16,28880
10/11/17,28970
10/11/18,29340
10/11/19,29340
10/11/22,29630
10/11/23,29460
10/11/24,29140
10/11/26,28460
10/11/29,28240
10/11/30,28600
10/12/1,29000
10/12/2,29420
10/12/3,30320
10/12/6,30850
10/12/7,30400
10/12/8,29580
10/12/9,29300
10/12/10,29860
10/12/13,30080
10/12/14,30020
10/12/15,29450
10/12/16,29120
10/12/17,28880
10/12/20,29260
10/12/21,29190
10/12/22,28840
10/12/23,29210
10/12/27,29220
10/12/28,29930
10/12/29,29750
10/12/30,29700
10/12/31,29900
11/1/3,29730
11/1/4,28760
11/1/5,28310
11/1/6,27710
11/1/7,27690
11/1/10,28110
11/1/11,28330
11/1/12,28130
11/1/13,27650
11/1/14,27120
11/1/18,27530
11/1/19,26990
11/1/20,27120
11/1/21,27180
11/1/24,26850
11/1/25,27200
11/1/26,27770
11/1/27,26950
11/1/28,26770
11/1/31,26800
11/2/1,27510
11/2/2,27090
11/2/3,27900
11/2/4,27730
11/2/7,27820
11/2/8,28360
11/2/9,28170
11/2/10,27730
11/2/11,27690
11/2/14,27840
11/2/15,28250
11/2/16,28220
11/2/17,28700
11/2/18,28460
11/2/22,28300
11/2/23,28760
11/2/24,26640
11/2/25,26500
11/2/28,26890
11/3/1,27290
11/3/2,26630
11/3/3,26080
11/3/4,26410
11/3/7,26120
11/3/8,25790
11/3/9,25580
11/3/10,25050
11/3/11,25360
11/3/14,25460
11/3/15,25350
11/3/16,24520
11/3/17,24730
11/3/18,24760
11/3/21,25160
11/3/22,25870
11/3/23,26680
11/3/24,26530
11/3/25,26260
11/3/28,25920
11/3/29,26030
11/3/30,26330
11/3/31,26560
11/4/1,26450
11/4/4,26560
11/4/5,27720
11/4/6,27470
11/4/7,28360
11/4/8,28220
11/4/11,27710
11/4/12,27880
11/4/13,27430
11/4/14,28020
11/4/15,28130
11/4/18,28190
11/4/19,28560
11/4/20,28670
11/4/21,28850
11/4/25,28150
11/4/26,28180
11/4/27,28710
11/4/28,28640
11/4/29,28550
11/5/2,28040
11/5/3,27380
11/5/4,27490
11/5/5,26640
11/5/6,26170
11/5/9,26630
11/5/10,26620
11/5/11,26020
11/5/12,25940
11/5/13,25710
11/5/16,25790
11/5/17,26070
11/5/18,26210
11/5/19,26330
11/5/20,26340
11/5/23,26430
11/5/24,26890
11/5/25,27090
11/5/26,27190
11/5/27,27470
11/5/31,27550
11/6/1,27120
11/6/2,26860
11/6/3,26670
11/6/6,26030
11/6/7,25790
11/6/8,25490
11/6/9,25780
11/6/10,25380
11/6/13,25280
11/6/14,25480
11/6/15,25480
11/6/16,25180
11/6/17,25130
11/6/20,25240
11/6/21,25960
11/6/22,26350
11/6/23,26290
11/6/24,25460
11/6/27,25480
11/6/28,25700
11/6/29,26070
11/6/30,26290
11/7/1,26180
11/7/5,26480
11/7/6,26570
11/7/7,26780
11/7/8,26670
11/7/11,26420
11/7/12,26950
11/7/13,27650
11/7/14,27640
11/7/15,27950
11/7/18,28290
11/7/19,28130
11/7/20,28260
11/7/21,28530
11/7/22,28600
11/7/25,28480
11/7/26,28460
11/7/27,27950
11/7/28,28150
11/7/29,27110
11/8/1,26980
11/8/2,27370
11/8/3,27850
11/8/4,26540
11/8/5,26530
11/8/8,26390
11/8/9,27010
11/8/10,27210
11/8/11,28430
11/8/12,28010
11/8/15,28780
11/8/16,28630
11/8/17,28800
11/8/18,28480
11/8/19,29290
11/8/22,30650
11/8/23,29860
11/8/24,29380
11/8/25,29660
11/8/26,30310
11/8/29,30300
11/8/30,30780
11/8/31,30530
11/9/1,30460
11/9/2,31430
11/9/6,31450
11/9/7,31110
11/9/8,32010
11/9/9,31820
11/9/12,31240
11/9/13,31340
11/9/14,31290
11/9/15,31350
11/9/16,32040
11/9/19,32310
11/9/20,34080
11/9/21,33000
11/9/22,31810
11/9/23,30650
11/9/26,31390
11/9/27,30940
11/9/28,30000
11/9/29,30480
11/9/30,30690
11/10/3,30850
11/10/4,29880
11/10/5,30720
11/10/6,31230
11/10/7,30760
11/10/10,31820
11/10/11,31420
11/10/12,31240
11/10/13,31080
11/10/14,32600
11/10/17,32280
11/10/18,31940
11/10/19,30390
11/10/20,30090
11/10/21,30580
11/10/24,31160
11/10/25,31660
11/10/26,32120
11/10/27,32250
11/10/28,33440
11/10/31,32630
11/11/1,32040
11/11/2,32520
11/11/3,33850
11/11/4,33870
11/11/7,35210
11/11/8,34960
11/11/9,33820
11/11/10,33600
11/11/11,34410
11/11/14,33920
11/11/15,34000
11/11/16,33190
11/11/17,32340
11/11/18,31960
11/11/21,31880
11/11/22,32120
11/11/23,31350
11/11/25,31130
11/11/28,31850
11/11/29,31880
11/11/30,33630
11/12/1,33590
11/12/2,32730
11/12/5,32390
11/12/6,32780
11/12/7,33060
11/12/8,32250
11/12/9,32680
11/12/12,31870
11/12/13,30830
11/12/14,30080
11/12/15,30150
11/12/16,30360
11/12/19,29810
11/12/20,30570
11/12/21,30700
11/12/22,29790
11/12/23,30210
11/12/27,29960
11/12/28,29010
11/12/29,29470
11/12/30,29300
12/1/3,30710
12/1/4,30620
12/1/5,30720
12/1/6,30660
12/1/9,30420
12/1/10,30990
12/1/11,31340
12/1/12,31680
12/1/13,31360
12/1/17,30150
12/1/18,29860
12/1/19,29490
12/1/20,29320
12/1/23,29320
12/1/24,28440
12/1/25,29810
12/1/26,29910
12/1/27,30430
12/1/30,30290
12/1/31,30420
12/2/1,30240
12/2/2,30820
12/2/3,30180
12/2/6,30120
12/2/7,30110
12/2/8,30030
12/2/9,30000
12/2/10,29500
12/2/13,29390
12/2/14,29080
12/2/15,29210
12/2/16,29620
12/2/17,29140
12/2/21,30160
12/2/22,30770
12/2/23,31270
12/2/24,30640
12/2/27,30160
12/2/28,30390
12/2/29,29130
12/3/1,29250
12/3/2,28900
12/3/5,28380
12/3/6,28020
12/3/7,27780
12/3/8,27920
12/3/9,27880
12/3/12,27330
12/3/13,26890
12/3/14,26620
12/3/15,26390
12/3/16,26350
12/3/19,26240
12/3/20,26310
12/3/21,26060
12/3/22,25690
12/3/23,26140
12/3/26,26200
