date,mkt_cap
08/12/31,119420
09/1/2,123190
09/1/5,122450
09/1/6,120020
09/1/7,117930
09/1/8,119010
09/1/9,117600
09/1/12,117060
09/1/13,118610
09/1/14,116250
09/1/15,117260
09/1/16,118000
09/1/20,115980
09/1/21,117870
09/1/22,116050
09/1/23,117660
09/1/26,105530
09/1/27,106670
09/1/28,104110
09/1/29,101950
09/1/30,98310
09/2/2,100400
09/2/3,102490
09/2/4,98240
09/2/5,97770
09/2/6,100070
09/2/9,99190
09/2/10,94870
09/2/11,96960
09/2/12,98780
09/2/13,98350
09/2/17,96120
09/2/18,95510
09/2/19,94640
09/2/20,92480
09/2/23,89510
09/2/24,91670
09/2/25,88230
09/2/26,85660
09/2/27,83030
09/3/2,78650
09/3/3,80070
09/3/4,84320
09/3/5,85460
09/3/6,85870
09/3/9,85190
09/3/10,88300
09/3/11,86270
09/3/12,94570
09/3/13,98080
09/3/16,95450
09/3/17,96190
09/3/18,96120
09/3/19,92410
09/3/20,91940
09/3/23,94570
09/3/24,93890
09/3/25,96190
09/3/26,97000
09/3/27,94700
09/3/30,92410
09/3/31,91870
09/4/1,94370
09/4/2,92880
09/4/3,91400
09/4/6,92480
09/4/7,91130
09/4/8,90930
09/4/9,91400
09/4/13,90930
09/4/14,89980
09/4/15,93490
09/4/16,93760
09/4/17,95510
09/4/20,91670
09/4/21,91200
09/4/22,87960
09/4/23,89580
09/4/24,88840
09/4/27,90990
09/4/28,90320
09/4/29,90590
09/4/30,90120
09/5/1,91600
09/5/4,94300
09/5/5,96360
09/5/6,93860
09/5/7,95550
09/5/8,97170
09/5/11,95480
09/5/12,100750
09/5/13,103040
09/5/14,103510
09/5/15,101290
09/5/18,102500
09/5/19,101890
09/5/20,101960
09/5/21,100070
09/5/22,100950
09/5/26,101350
09/5/27,98930
09/5/28,99130
09/5/29,102500
09/6/1,99600
09/6/2,101080
09/6/3,100480
09/6/4,98790
09/6/5,97910
09/6/8,96560
09/6/9,95350
09/6/10,94810
09/6/11,98720
09/6/12,99600
09/6/15,95350
09/6/16,95550
09/6/17,98390
09/6/18,100680
09/6/19,101220
09/6/22,99800
09/6/23,99400
09/6/24,99330
09/6/25,103450
09/6/26,102500
09/6/29,102990
09/6/30,101240
09/7/1,100560
09/7/2,97730
09/7/6,98340
09/7/7,98470
09/7/8,98600
09/7/9,96450
09/7/10,95840
09/7/13,99620
09/7/14,100560
09/7/15,101370
09/7/16,101710
09/7/17,100970
09/7/20,102990
09/7/21,105960
09/7/22,107110
09/7/23,109000
09/7/24,111230
09/7/27,112170
09/7/28,108190
09/7/29,106300
09/7/30,107580
09/7/31,107510
09/8/3,108260
09/8/4,108460
09/8/5,107110
09/8/6,106570
09/8/7,107720
09/8/10,107380
09/8/11,106840
09/8/12,107040
09/8/13,106640
09/8/14,106430
09/8/17,107180
09/8/18,107850
09/8/19,110480
09/8/20,109540
09/8/21,112310
09/8/24,112910
09/8/25,113390
09/8/26,113180
09/8/27,113790
09/8/28,113450
09/8/31,112710
09/9/1,110550
09/9/2,109880
09/9/3,108530
09/9/4,110620
09/9/8,109400
09/9/9,109130
09/9/10,110280
09/9/11,109670
