date,mkt_cap
08/12/31,6949
09/1/2,7228
09/1/5,7287
09/1/6,7508
09/1/7,7339
09/1/8,7449
09/1/9,7177
09/1/12,7045
09/1/13,6883
09/1/14,6641
09/1/15,6817
09/1/16,6949
09/1/20,6531
09/1/21,6648
09/1/22,6700
09/1/23,6670
09/1/26,6611
09/1/27,6722
09/1/28,7089
09/1/29,7089
09/1/30,6935
09/2/2,6935
09/2/3,7221
09/2/4,7177
09/2/5,7441
09/2/6,7743
09/2/9,7875
09/2/10,7273
09/2/11,7339
09/2/12,7478
09/2/13,7441
09/2/17,7089
09/2/18,7089
09/2/19,6993
09/2/20,7037
09/2/23,6729
09/2/24,7001
09/2/25,6920
09/2/26,6626
09/2/27,6722
09/3/2,6442
09/3/3,6303
09/3/4,6487
09/3/5,6288
09/3/6,6141
09/3/9,6075
09/3/10,6707
09/3/11,6773
09/3/12,7397
09/3/13,7757
09/3/16,7919
09/3/17,8183
09/3/18,8448
09/3/19,8514
09/3/20,8198
09/3/23,8859
09/3/24,8316
09/3/25,8198
09/3/26,9102
09/3/27,8646
09/3/30,8286
09/3/31,8176
09/4/1,8220
09/4/2,8698
09/4/3,8603
09/4/6,8404
09/4/7,8235
09/4/8,8455
09/4/9,8831
09/4/13,8838
09/4/14,8735
09/4/15,8581
09/4/16,8544
09/4/17,8875
09/4/20,8367
09/4/21,8690
09/4/22,9250
09/4/23,9832
09/4/24,9942
09/4/27,9714
09/4/28,9935
09/4/29,10070
09/4/30,10640
09/5/1,10160
09/5/4,10480
09/5/5,10460
09/5/6,10320
09/5/7,10310
09/5/8,10050
09/5/11,9898
09/5/12,9699
09/5/13,9383
09/5/14,9368
09/5/15,9523
09/5/18,9854
09/5/19,9876
09/5/20,9971
09/5/21,9883
09/5/22,9567
09/5/26,9935
09/5/27,9861
09/5/28,10090
09/5/29,10590
09/6/1,10980
09/6/2,10910
09/6/3,11260
09/6/4,11160
09/6/5,11100
09/6/8,11020
09/6/9,11190
09/6/10,10960
09/6/11,10490
09/6/12,10710
09/6/15,10390
09/6/16,10300
09/6/17,10520
09/6/18,10380
09/6/19,10480
09/6/22,10090
09/6/23,10420
09/6/24,10460
09/6/25,10920
09/6/26,10690
09/6/29,10840
09/6/30,10280
09/7/1,10360
09/7/2,9910
09/7/6,9917
09/7/7,9599
09/7/8,9651
09/7/9,10090
09/7/10,9954
09/7/13,10400
09/7/14,10440
09/7/15,10670
09/7/16,10660
09/7/17,10690
09/7/20,11040
09/7/21,10870
09/7/22,12870
09/7/23,12770
09/7/24,12740
09/7/27,12800
09/7/28,12850
09/7/29,12700
09/7/30,13050
09/7/31,13050
09/8/3,13470
09/8/4,13780
09/8/5,13640
09/8/6,13490
09/8/7,14030
09/8/10,14150
09/8/11,13900
09/8/12,14170
09/8/13,14480
09/8/14,14090
09/8/17,13720
09/8/18,14010
09/8/19,14090
09/8/20,14170
09/8/21,14530
09/8/24,14180
09/8/25,14370
09/8/26,14260
09/8/27,14330
09/8/28,14250
09/8/31,14000
09/9/1,13680
09/9/2,13680
09/9/3,13780
09/9/4,14020
09/9/8,14150
09/9/9,14810
09/9/10,14720
09/9/11,14660
09/9/14,14800
09/9/15,14590
09/9/16,14630
09/9/17,14800
09/9/18,15300
09/9/21,15240
09/9/22,15090
09/9/23,14510
09/9/24,14130
09/9/25,14620
09/9/28,15320
09/9/29,15140
09/9/30,15340
09/10/1,14840
09/10/2,14660
09/10/5,14900
09/10/6,15250
09/10/7,15160
09/10/8,15210
09/10/9,15040
09/10/12,15130
09/10/13,15000
09/10/14,15260
09/10/15,15390
09/10/16,15330
09/10/19,15560
09/10/20,15250
09/10/21,15110
09/10/22,15350
09/10/23,15060
09/10/26,14900
09/10/27,14180
09/10/28,13920
09/10/29,14500
09/10/30,14100
09/11/2,14400
09/11/3,14430
09/11/4,14270
09/11/5,14640
09/11/6,15690
09/11/9,15680
09/11/10,15910
09/11/11,16130
09/11/12,16110
09/11/13,16120
09/11/16,16330
09/11/17,16280
09/11/18,16080
09/11/19,15940
09/11/20,15850
09/11/23,16000
09/11/24,15790
09/11/25,16150
09/11/27,15860
09/11/30,16210
09/12/1,16110
09/12/2,16080
09/12/3,15660
09/12/4,16020
09/12/7,15870
09/12/8,15740
09/12/9,15800
09/12/10,16540
09/12/11,16610
09/12/14,16940
09/12/15,16860
09/12/16,16640
09/12/17,16500
09/12/18,17560
09/12/21,17160
09/12/22,17590
09/12/23,17600
09/12/24,17550
09/12/28,17770
09/12/29,17550
09/12/30,17400
09/12/31,17210
10/1/4,17210
10/1/5,17610
10/1/6,17480
10/1/7,17440
10/1/8,17380
10/1/11,17330
10/1/12,17040
10/1/13,17450
10/1/14,17580
10/1/15,17370
10/1/19,17600
10/1/20,17390
10/1/21,17670
10/1/22,17100
10/1/25,16720
10/1/26,16760
10/1/27,16660
10/1/28,16410
10/1/29,16200
10/2/1,16530
10/2/2,16690
10/2/3,16670
10/2/4,16210
10/2/5,16130
10/2/8,16290
10/2/9,16500
10/2/10,16630
10/2/11,16770
10/2/12,16800
10/2/16,17010
10/2/17,17210
10/2/18,17290
10/2/19,17370
10/2/22,17020
10/2/23,16860
10/2/24,17160
10/2/25,17020
10/2/26,17030
10/3/1,17310
10/3/2,17340
10/3/3,17140
10/3/4,17040
10/3/5,17370
10/3/8,17340
10/3/9,17560
10/3/10,18010
10/3/11,18040
10/3/12,18050
10/3/15,18150
10/3/16,18800
10/3/17,19000
10/3/18,18600
10/3/19,18560
10/3/22,18760
10/3/23,18890
10/3/24,18800
10/3/25,18000
10/3/26,18280
10/3/29,18330
10/3/30,18290
10/3/31,18080
10/4/1,18050
10/4/5,18330
10/4/6,18320
10/4/7,18550
10/4/8,18490
10/4/9,18410
10/4/12,18240
10/4/13,18420
10/4/14,18500
10/4/15,18720
10/4/16,18590
10/4/19,18550
10/4/20,18810
10/4/21,18910
10/4/22,20300
10/4/23,20300
10/4/26,20410
10/4/27,19770
10/4/28,19540
10/4/29,19820
10/4/30,19360
10/5/3,20250
10/5/4,19390
10/5/5,19540
10/5/6,19080
10/5/7,18960
10/5/10,20150
10/5/11,19890
10/5/12,20750
10/5/13,20450
10/5/14,19750
10/5/17,20050
10/5/18,19800
10/5/19,19510
10/5/20,18700
10/5/21,18840
10/5/24,18680
10/5/25,18570
10/5/26,18410
10/5/27,19390
10/5/28,19290
10/6/1,19150
10/6/2,19800
10/6/3,20010
10/6/4,19490
10/6/7,19030
10/6/8,19260
10/6/9,19600
10/6/10,20100
10/6/11,20230
10/6/14,20460
10/6/15,20810
10/6/16,20860
10/6/17,20850
10/6/18,20930
10/6/21,20880
10/6/22,20290
10/6/23,20360
10/6/24,19870
10/6/25,19980
10/6/28,19540
10/6/29,18510
10/6/30,17990
10/7/1,18260
10/7/2,18030
10/7/6,17480
10/7/7,18060
10/7/8,18390
10/7/9,18730
10/7/12,18710
10/7/13,19200
10/7/14,19250
10/7/15,19340
10/7/16,18770
10/7/19,18870
10/7/20,19080
10/7/21,18630
10/7/22,18620
10/7/23,18790
10/7/26,18790
10/7/27,18640
10/7/28,18500
10/7/29,18370
10/7/30,18390
10/8/2,18270
10/8/3,18300
10/8/4,18640
10/8/5,18640
10/8/6,18750
10/8/9,18990
10/8/10,18800
10/8/11,18250
10/8/12,18100
10/8/13,17750
10/8/16,17630
10/8/17,17980
10/8/18,18130
10/8/19,17790
10/8/20,17800
10/8/23,17530
10/8/24,16890
10/8/25,17290
10/8/26,17220
10/8/27,17370
10/8/30,17340
10/8/31,17010
10/9/1,17530
10/9/2,18250
10/9/3,18550
10/9/7,18410
10/9/8,18340
10/9/9,18380
10/9/10,18800
10/9/13,19060
10/9/14,19080
10/9/15,19060
10/9/16,19040
10/9/17,18890
10/9/20,19450
10/9/21,19360
10/9/22,19190
10/9/23,18840
10/9/24,19340
10/9/27,19350
10/9/28,19350
10/9/29,19090
10/9/30,18910
10/10/1,19200
10/10/4,19080
10/10/5,19490
10/10/6,19290
10/10/7,19360
10/10/8,19360
10/10/11,19300
10/10/12,20150
10/10/13,20240
10/10/14,20370
10/10/15,20450
10/10/18,20310
10/10/19,20110
10/10/20,20380
10/10/21,20270
10/10/22,21160
10/10/25,21080
10/10/26,21190
10/10/27,20990
10/10/28,20960
10/10/29,21210
10/11/1,21390
10/11/2,21450
10/11/3,21610
10/11/4,22090
10/11/5,22920
10/11/8,22750
10/11/9,22400
10/11/10,22630
10/11/11,22830
10/11/12,22370
10/11/15,22810
10/11/16,22110
10/11/17,22230
10/11/18,22660
10/11/19,22800
10/11/22,22880
10/11/23,22530
10/11/24,23330
10/11/26,23080
10/11/29,22820
10/11/30,22680
10/12/1,23570
10/12/2,24360
10/12/3,24330
10/12/6,24330
10/12/7,24370
10/12/8,24220
10/12/9,24090
10/12/10,24230
10/12/13,23790
10/12/14,23870
10/12/15,23700
10/12/16,24230
10/12/17,24380
10/12/20,24490
10/12/21,24430
10/12/22,24490
10/12/23,24260
10/12/27,24140
10/12/28,24080
10/12/29,24170
10/12/30,24100
10/12/31,23890
11/1/3,24900
11/1/4,24320
11/1/5,24220
11/1/6,23930
11/1/7,24550
11/1/10,24540
11/1/11,24160
11/1/12,24110
11/1/13,24170
11/1/14,24380
11/1/18,24610
11/1/19,24620
11/1/20,24740
11/1/21,24760
11/1/24,24970
11/1/25,25090
11/1/26,24660
11/1/27,24630
11/1/28,23670
11/1/31,23520
11/2/1,24060
11/2/2,24020
11/2/3,24140
11/2/4,24300
11/2/7,24130
11/2/8,24710
11/2/9,24610
11/2/10,24740
11/2/11,24880
11/2/14,25050
11/2/15,24750
11/2/16,25040
11/2/17,24990
11/2/18,25370
11/2/22,24450
11/2/23,23800
11/2/24,23800
11/2/25,24240
11/2/28,24600
11/3/1,24160
11/3/2,24040
11/3/3,24630
11/3/4,24710
11/3/7,25070
11/3/8,25370
11/3/9,25770
11/3/10,28330
11/3/11,27270
11/3/14,26650
11/3/15,26650
11/3/16,26110
11/3/17,26180
11/3/18,26080
